
20160611 | 21:30 | Litomyšl, kapitulní chrám Povýšení sv. Kříže                                 | "Exaltatio" - chrámové nokturno v rámci festivalu Smetanova Litomyšl<br/>mystika sv. Kříže v chorálním repertoáru středověku v prolínání s varhanním cyklem francouzského velikána Oliviera Messiaena Těla oslavená<br/>Eva Bublová  - varhany, ženský vokální soubor Tiburtina Ensemble, umělecká vedoucí Barbora Kabátková.
20160619 | 17:00 | Český Krumlov, klášterní kostel Božího těla                                  | varhanní recitál z děl B. Storaceho, G. Frescobaldiho, A. Vivaldiho a dalších
20160629 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál duchovní hudby
20160724 | 18:30 | Mníšek pod Brdy, kostel sv. Václava                                          | Eva Bublová - varhany, Karolína Berková - zpěv<br/>F. Mendelssohn-Bartholdy, A. Dvořák, P. Eben, N. Boulanger, Z. Ferjenčíková a další mistři v duchovním repertoáru
20170325 | 17:00 | Praha, kostel ČCE u Klimenta                                                 | cembalový recitál s názvem "Hudba s návodem k použití" aneb "Couperinovy vzkazy mezi řádky a linkami"
20170512 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv, Marie Pačesová - trubka<br/>Mozartovo "Exultate, jubilate", Bachovo "Jauchzet Gott in allen Landen" a další mistrovská barokní díla
20170520 | 17:30 | Bamberg (Německo), chrám sv. Martina                                         | "Musik von Frauen f r die Gottesmutter" - varhanní recitál ve spolupráci s ženskou scholou sv. Martina<br/>F. Hensel-Mendelssohn, C. Schumann-Wieck, N. Boulanger a světová premiéra skladby pro ženský sbor a varhany Zuzany Ferjenčíkové.
20170528 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv, Marie Pačesová - trubka<br/>Mozartovo "Exultate, jubilate", Bachovo "Jauchzet Gott in allen Landen" a další mistrovská barokní díla
20170618 | 16:30 | Velehrad, bazilika Nanebevzetí Panny Marie a sv. Cyrila a Metoděje           | Varhanní koncert k 1020. výročí úmrtí sv. Vojtěcha, patrona české země
20170716 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv<br/>Mozartovo "Exultate, jubilate", společný Bachův a Vivaldiho koncert, "Árie anděla" od J. D. Zelenky a další mistrovská barokní díla
20170807 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv<br/>Bachovsko italský program s violou a zpěvem nejen gregoriánského chorálu
20170913 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv, Marie Pačesová - trubka<br/>Mozartovo "Exultate, jubilate", Bachovo "Jauchzet Gott in allen Landen" a další mistrovská barokní díla
20170922 | 20:00 | Praha - Horní Počernice, kostel sv. Ludmily                                  | varhanní recitál z děl italských a německých barokních mistrů
20171214 | 19:30 | Praha, kostel sv. Vavřince - koncertní síň Pražského jara                    | Eva Bublová - varhany, Jan Hádek, Simona Tydlitátová - housle, Ivo Anýž - viola, Libor Mašek - violoncello<br/>varhanní koncerty G. F. H&auml;ndela a C. Ph. E. Bacha, chrámová sonáta W. A. Mozarta a další
20180307 | 18:30 | Praha, kostel ČCE U Salvátora na Starém Městě                                | varhanní recitál z děl francouzských a německých skladatelů s francouzskými vlivy
20180331 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv<br/>varhanní koncert s violou a gregoriánským chorálem, určeným na Bílou sobotu
20180521 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv<br/>varhanní koncert s violou a gregoriánským chorálem, určeným na svatodušní svátky
20180614 | 20:00 | Freiberg (Německo), Dom St. Marien                                           | koncert k 25 letům Mezinárodní varhanní soutěže Gottfrieda Silbermanna
20180616 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv, Jan Pohořalý - trubka<br/>Mozartovo "Exultate, jubilate", Bachovo "Jauchzet Gott in allen Landen" a další mistrovská barokní díla
20180714 | 15:00 | Kladruby, klášterní kostel Nanebevzetí Panny Marie                           | varhanní recitál z rámci hudebního festivalu Kladrubské léto
20180727 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv<br/> Mozartovo "Exultate, jubilate", Bachova "Echoárie" a "Árie anděla" od J. D. Zelenky a další mistrovská barokní díla
20180825 | 12:00 | Königsmühle - zaniklá obec a dějiště art festivalu                           | Eva Bublová - varhany, Bronislava Smržová - zpěv<br/>varhanní, duchovní i operní koncert v ruinách vysoko v Krušných horách
20180909 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv<br/>Mozartovo "Exultate, jubilate", Bachova "Echoárie", "Árie anděla" od J. D. Zelenky a další mistrovská barokní díla
20180923 | 18:30 | Mělník, kostel sv. Petra a Pavla                                             | Eva Bublová - varhany, Bronislava Smržová - zpěv, Jan Pohořalý - trubka<br/>Mozartovo "Exultate, jubilate", Bachovo "Jauchzet Gott in allen Landen" a další mistrovská barokní díla
20180926 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál duchovní hudby
20181014 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová - varhany, Bronislava Smržová - zpěv, Jan Pohořalý - trubka<br/>Mozartovo "Exultate, jubilate", Bachovo "Jauchzet Gott in allen Landen" a další mistrovská barokní díla
20181120 | 20:00 | Hradec Králové, Sál Filharmonie Hradec Králové                               | James MacMillan: "Skotský bestiář", koncert pro varhany a orchestr<br/>Eva Bublová - varhany, Filharmonii Hradec Králové řídí Peter Vrábel
